layer,beta,experiment,success_count,total_prompts,final_accuracy
22,3.0,2,9.0,1000.0,0.009
22,3.0,3,39.0,1000.0,0.039
22,3.0,4,41.0,1000.0,0.041
22,3.0,5,10.0,1000.0,0.01
22,3.0,Average,,,0.0212
22,4.0,1,0.0,1000.0,0.0
22,4.0,2,0.0,1000.0,0.0
22,4.0,3,0.0,1000.0,0.0
22,4.0,4,0.0,1000.0,0.0
22,4.0,5,0.0,1000.0,0.0
22,4.0,Average,,,0.0
22,5.0,1,0.0,1000.0,0.0
22,5.0,2,0.0,1000.0,0.0
22,5.0,3,0.0,1000.0,0.0
22,5.0,4,0.0,1000.0,0.0
22,5.0,5,0.0,1000.0,0.0
22,5.0,Average,,,0.0
23,0.5,1,64.0,1000.0,0.064
23,0.5,2,71.0,1000.0,0.071
23,0.5,3,59.0,1000.0,0.059
23,0.5,4,78.0,1000.0,0.078
23,0.5,5,67.0,1000.0,0.067
23,0.5,Average,,,0.0678
23,1.0,1,159.0,1000.0,0.159
23,1.0,2,127.0,1000.0,0.127
23,1.0,3,129.0,1000.0,0.129
23,1.0,4,157.0,1000.0,0.157
23,1.0,5,145.0,1000.0,0.145
23,1.0,Average,,,0.1434
23,1.5,1,124.0,1000.0,0.124
23,1.5,2,110.0,1000.0,0.11
23,1.5,3,131.0,1000.0,0.131
23,1.5,4,167.0,1000.0,0.167
23,1.5,5,148.0,1000.0,0.148
23,1.5,Average,,,0.136
23,2.0,1,143.0,1000.0,0.143
23,2.0,2,150.0,1000.0,0.15
23,2.0,3,129.0,1000.0,0.129
23,2.0,4,143.0,1000.0,0.143
23,2.0,5,142.0,1000.0,0.142
23,2.0,Average,,,0.1414
23,2.5,1,100.0,1000.0,0.1
23,2.5,2,101.0,1000.0,0.101
23,2.5,3,117.0,1000.0,0.117
23,2.5,4,115.0,1000.0,0.115
23,2.5,5,125.0,1000.0,0.125
23,2.5,Average,,,0.1116
23,3.0,1,0.0,1000.0,0.0
23,3.0,2,0.0,1000.0,0.0
23,3.0,3,0.0,1000.0,0.0
23,3.0,4,0.0,1000.0,0.0
23,3.0,5,0.0,1000.0,0.0
23,3.0,Average,,,0.0
23,4.0,1,0.0,1000.0,0.0
23,4.0,2,0.0,1000.0,0.0
23,4.0,3,0.0,1000.0,0.0
23,4.0,4,0.0,1000.0,0.0
23,4.0,5,0.0,1000.0,0.0
23,4.0,Average,,,0.0
23,5.0,1,0.0,1000.0,0.0
23,5.0,2,0.0,1000.0,0.0
23,5.0,3,0.0,1000.0,0.0
23,5.0,4,0.0,1000.0,0.0
23,5.0,5,0.0,1000.0,0.0
23,5.0,Average,,,0.0
25,0.5,1,52.0,1000.0,0.052
25,0.5,2,63.0,1000.0,0.063
25,0.5,3,51.0,1000.0,0.051
25,0.5,4,56.0,1000.0,0.056
25,0.5,5,62.0,1000.0,0.062
25,0.5,Average,,,0.0567999999999999
25,1.0,1,123.0,1000.0,0.123
25,1.0,2,101.0,1000.0,0.101
25,1.0,3,99.0,1000.0,0.099
25,1.0,4,142.0,1000.0,0.142
25,1.0,5,116.0,1000.0,0.116
25,1.0,Average,,,0.1162
25,1.5,1,116.0,1000.0,0.116
25,1.5,2,102.0,1000.0,0.102
25,1.5,3,110.0,1000.0,0.11
25,1.5,4,151.0,1000.0,0.151
25,1.5,5,114.0,1000.0,0.114
25,1.5,Average,,,0.1186
25,2.0,1,160.0,1000.0,0.16
25,2.0,2,135.0,1000.0,0.135
25,2.0,3,142.0,1000.0,0.142
25,2.0,4,167.0,1000.0,0.167
25,2.0,5,164.0,1000.0,0.164
25,2.0,Average,,,0.1536
25,2.5,1,10.0,1000.0,0.01
25,2.5,2,10.0,1000.0,0.01
25,2.5,3,19.0,1000.0,0.019
25,2.5,4,19.0,1000.0,0.019
25,2.5,5,14.0,1000.0,0.014
25,2.5,Average,,,0.0144
25,3.0,1,0.0,1000.0,0.0
25,3.0,2,0.0,1000.0,0.0
25,3.0,3,0.0,1000.0,0.0
25,3.0,4,0.0,1000.0,0.0
25,3.0,5,0.0,1000.0,0.0
25,3.0,Average,,,0.0
25,4.0,1,0.0,1000.0,0.0
25,4.0,2,0.0,1000.0,0.0
25,4.0,3,0.0,1000.0,0.0
25,4.0,4,0.0,1000.0,0.0
25,4.0,5,0.0,1000.0,0.0
25,4.0,Average,,,0.0
25,5.0,1,0.0,1000.0,0.0
25,5.0,2,0.0,1000.0,0.0
25,5.0,3,0.0,1000.0,0.0
25,5.0,4,0.0,1000.0,0.0
25,5.0,5,0.0,1000.0,0.0
25,5.0,Average,,,0.0
26,0.5,1,64.0,1000.0,0.064
26,0.5,2,67.0,1000.0,0.067
26,0.5,3,50.0,1000.0,0.05
26,0.5,4,66.0,1000.0,0.066
26,0.5,5,67.0,1000.0,0.067
26,0.5,Average,,,0.0628
26,1.0,1,98.0,1000.0,0.098
26,1.0,2,72.0,1000.0,0.072
26,1.0,3,81.0,1000.0,0.081
26,1.0,4,97.0,1000.0,0.097
26,1.0,5,87.0,1000.0,0.087
26,1.0,Average,,,0.087
26,1.5,1,113.0,1000.0,0.113
26,1.5,2,100.0,1000.0,0.1
26,1.5,3,108.0,1000.0,0.108
26,1.5,4,122.0,1000.0,0.122
26,1.5,5,124.0,1000.0,0.124
26,1.5,Average,,,0.1133999999999999
26,2.0,1,150.0,1000.0,0.15
26,2.0,2,142.0,1000.0,0.142
26,2.0,3,139.0,1000.0,0.139
26,2.0,4,148.0,1000.0,0.148
26,2.0,5,163.0,1000.0,0.163
26,2.0,Average,,,0.1484
26,2.5,1,29.0,1000.0,0.029
26,2.5,2,42.0,1000.0,0.042
26,2.5,3,38.0,1000.0,0.038
26,2.5,4,47.0,1000.0,0.047
26,2.5,5,30.0,1000.0,0.03
26,2.5,Average,,,0.0372
26,3.0,1,0.0,1000.0,0.0
26,3.0,2,0.0,1000.0,0.0
26,3.0,3,0.0,1000.0,0.0
26,3.0,4,0.0,1000.0,0.0
26,3.0,5,0.0,1000.0,0.0
26,3.0,Average,,,0.0
26,4.0,1,0.0,1000.0,0.0
26,4.0,2,0.0,1000.0,0.0
26,4.0,3,0.0,1000.0,0.0
26,4.0,4,0.0,1000.0,0.0
26,4.0,5,0.0,1000.0,0.0
26,4.0,Average,,,0.0
26,5.0,1,0.0,1000.0,0.0
26,5.0,2,0.0,1000.0,0.0
26,5.0,3,0.0,1000.0,0.0
26,5.0,4,0.0,1000.0,0.0
26,5.0,5,0.0,1000.0,0.0
26,5.0,Average,,,0.0
27,0.5,1,35.0,1000.0,0.035
27,0.5,2,50.0,1000.0,0.05
27,0.5,3,29.0,1000.0,0.029
27,0.5,4,41.0,1000.0,0.041
27,0.5,5,34.0,1000.0,0.034
27,0.5,Average,,,0.0378
27,1.0,1,59.0,1000.0,0.059
27,1.0,2,65.0,1000.0,0.065
27,1.0,3,60.0,1000.0,0.06
27,1.0,4,68.0,1000.0,0.068
27,1.0,5,78.0,1000.0,0.078
27,1.0,Average,,,0.066
27,1.5,1,103.0,1000.0,0.103
27,1.5,2,78.0,1000.0,0.078
27,1.5,3,83.0,1000.0,0.083
27,1.5,4,101.0,1000.0,0.101
27,1.5,5,119.0,1000.0,0.119
